,0
255,3.94492
256,-0.30994672
257,3.8422124
258,-0.7197397
259,0.5186501
260,-1.2408859
261,3.7231178
262,1.0621624
263,0.059740227
264,-0.2604348
265,3.94492
266,3.94492
267,3.94492
268,3.94492
269,0.29287675
270,3.94492
271,3.94492
272,0.69968146
273,-0.17423674
274,-1.0427959
275,0.8910314
276,-0.5080145
277,0.4062124
278,3.94492
279,3.94492
280,3.94492
281,1.0580565
282,0.30629322
283,3.94492
284,-0.3145966
285,2.8700943
286,-0.9546303
287,-0.49332446
288,0.57415026
289,3.4023786
290,3.94492
291,3.94492
292,3.94492
293,0.24974427
294,3.94492
295,3.94492
296,1.3685492
297,1.6270602
298,3.2513182
299,0.9078942
300,1.0393114
301,0.85473925
302,3.94492
303,3.94492
304,-0.99001163
305,2.2012563
306,-1.1260263
307,3.94492
308,3.94492
309,0.119857736
310,3.0360336
311,1.0124595
312,0.48939848
313,0.48289374
314,3.94492
315,3.94492
316,3.94492
317,0.021756466
318,3.94492
319,3.94492
320,0.32701224
321,0.6459354
322,-0.16376942
323,-0.66266567
324,0.21935543
325,0.3515224
326,3.7047043
327,3.94492
328,-0.41966483
329,3.94492
330,0.6074188
331,2.9624498
332,0.5428474
333,0.24849781
334,-0.120831415
335,0.2329932
336,0.98917496
337,1.4116329
338,1.8228468
339,3.94492
340,3.94492
341,1.6150695
342,3.94492
343,2.0132997
344,2.0851798
345,1.0731828
346,0.021020211
347,0.62160933
348,0.59977365
349,0.54596037
350,3.94492
351,0.42064798
352,2.9551597
353,1.0742276
354,0.24501197
355,3.6654804
356,0.3619275
357,0.90711063
358,-1.2061025
359,3.94492
360,3.94492
361,3.3788257
362,1.2243896
363,3.94492
364,-0.1371452
365,1.0379608
366,3.94492
367,1.6803266
368,1.2332666
369,-0.07287127
370,0.14647469
371,1.6720005
372,-0.28161415
373,1.588737
374,3.94492
375,1.4691155
376,-0.020689024
377,2.6665294
378,3.94492
379,2.6831405
380,3.94492
381,0.89302546
382,-1.338492
383,0.049948853
384,1.3542949
385,0.26386446
386,3.94492
387,3.94492
388,3.94492
389,1.4439024
390,3.94492
391,3.94492
392,3.6277113
393,1.4426526
394,-0.006162191
395,0.14137048
396,-0.50542563
397,0.44394737
398,3.94492
399,3.94492
400,-0.3675688
401,3.94492
402,1.190255
403,3.1379743
404,0.9437576
405,0.3326803
406,3.636415
407,0.38714996
408,1.8592383
409,3.94492
410,3.94492
411,3.94492
412,1.8925929
413,1.4050689
414,3.94492
415,3.94492
416,2.5459058
417,0.38517448
418,-0.89019287
419,0.9863221
420,-0.12271972
421,1.4380354
422,3.2177737
423,3.94492
424,-0.30994672
425,3.8422124
426,-0.7197397
427,0.5186501
428,-1.2408859
429,3.7231178
430,1.0621624
431,0.059740227
432,-0.2604348
433,3.94492
434,3.94492
435,3.94492
436,3.94492
437,0.29287675
438,3.94492
439,3.94492
440,0.69968146
441,-0.17423674
442,-1.0427959
443,0.8910314
444,-0.5080145
445,0.4062124
446,3.94492
447,3.94492
448,3.94492
449,1.0580565
450,0.30629322
451,3.94492
452,-0.3145966
453,2.8700943
454,-0.954631
455,-0.49332413
456,0.57415026
457,3.4023786
458,3.94492
459,3.94492
460,3.94492
461,0.24974427
462,3.94492
463,3.94492
464,1.3685492
465,1.6270602
466,3.2513182
467,0.9078942
468,1.0393114
469,0.85473925
470,3.94492
471,3.94492
472,-0.99001163
473,2.2012563
474,-1.1260263
475,3.94492
476,3.94492
477,0.119857736
478,3.0360358
479,1.0124599
480,0.48939848
481,0.48289374
482,3.94492
483,3.94492
484,3.94492
485,0.021756466
486,3.94492
487,3.94492
488,0.32701224
489,0.6459354
490,-0.16376942
491,-0.66266567
492,0.21935543
493,0.3515224
494,3.7047043
495,3.94492
496,-0.41966483
497,3.94492
498,0.6074188
499,2.9624498
500,0.5428474
501,0.24849781
502,-0.120831415
503,0.2329932
504,0.98917496
505,1.4116329
506,1.8228468
507,3.94492
508,3.94492
509,1.6150695
510,3.94492
511,2.0133038
512,2.0851798
513,1.0731828
514,0.021020211
515,0.62160933
516,0.59977365
517,0.54596037
518,3.94492
519,0.4206508
520,2.9551597
521,1.0742276
522,0.24501197
523,3.6654804
524,0.3619275
525,0.90711063
526,-1.2061025
527,3.94492
528,3.94492
529,3.3788257
530,1.2243896
531,3.94492
532,-0.1371452
533,1.0379608
534,3.94492
535,1.6803266
536,1.2332666
537,-0.07287127
538,0.14647469
539,1.6720005
